Loan_ID,Age,Gender,Income,Credit_Score,Loan_Amount,Loan_Term,Default
165,53,Male,30743,655,33668,7,No
166,39,Female,98759,729,25470,20,No
167,31,Female,41164,721,9997,15,No
168,23,Female,35985,762,7214,10,Yes
169,46,Female,90789,799,29104,7,Yes
170,35,Male,64176,683,9079,20,Yes
171,32,Male,56827,667,42614,5,Yes
172,19,Male,64262,636,34909,5,Yes
173,37,Male,94906,676,35030,7,No
174,34,Female,73809,610,32750,20,No
175,25,Female,31261,681,44116,10,Yes
176,60,Female,37001,689,23839,5,Yes
177,63,Male,85548,611,48644,20,No
178,25,Male,95084,739,22542,10,Yes
179,37,Male,65931,741,45275,20,Yes
180,40,Female,56720,794,40497,20,No
181,44,Female,83892,643,27688,7,Yes
182,29,Female,33681,732,31924,5,Yes
183,36,Male,37232,765,27991,5,No
184,60,Female,38618,636,20231,20,Yes
185,49,Male,97757,716,17893,10,Yes
186,39,Female,97758,680,21470,20,No
187,55,Female,43389,630,45819,10,Yes
188,46,Male,30330,674,31238,15,Yes
189,50,Female,75638,623,22057,10,Yes
190,65,Female,57108,619,40338,7,Yes
191,21,Female,38151,669,20733,7,Yes
192,32,Female,98000,694,40695,15,No
193,35,Female,55624,637,48795,7,Yes
194,59,Female,83052,691,37083,10,No
195,28,Male,41183,694,32320,7,Yes
196,63,Male,50842,770,27466,10,No
197,51,Male,79118,652,20264,10,No
198,30,Female,63162,615,29648,20,Yes
199,27,Male,46931,798,48725,7,Yes
200,43,Female,93206,763,21400,15,No
201,18,Male,63592,775,29055,5,No
202,55,Male,81551,742,32929,10,Yes
203,39,Female,33499,622,24480,10,No
204,26,Male,59034,654,26590,20,No
205,28,Female,87954,693,25201,20,No
206,18,Male,99285,671,47803,10,Yes
207,29,Female,49274,602,6569,5,Yes
208,61,Female,90095,720,15263,5,No
209,56,Male,33876,645,36270,15,Yes
210,43,Female,36103,620,47723,7,No
211,35,Female,34012,737,46634,10,No
212,26,Male,89339,633,6774,7,Yes
213,19,Female,74861,717,15912,10,Yes
214,40,Female,84779,752,16976,20,Yes
215,52,Female,70139,602,19810,20,No
216,45,Female,51644,617,17142,5,No
217,22,Female,39906,616,5827,20,No
218,20,Male,72565,779,28554,7,Yes
219,61,Male,81346,718,17705,7,Yes
220,48,Female,93727,717,31389,10,Yes
221,18,Female,62797,710,40363,10,Yes
222,27,Male,85291,743,9312,15,No
223,46,Female,95874,738,47762,5,No
224,54,Female,42859,713,49083,10,Yes
225,21,Male,84738,710,33967,7,No
226,60,Female,84603,641,7667,7,Yes
227,57,Male,93562,787,14174,10,No
228,34,Female,61124,632,43802,5,Yes
229,20,Male,85717,762,44927,20,No
230,28,Male,53526,649,33547,5,Yes
231,29,Male,37088,727,39682,20,No
232,48,Female,63274,689,47990,20,Yes
233,51,Male,66428,658,8320,5,No
234,65,Female,46502,684,9454,10,No
235,65,Female,51901,631,15517,20,No
236,61,Male,56609,726,14529,5,Yes
237,27,Female,67553,633,44532,5,No
238,19,Female,78044,607,34692,10,No
239,60,Male,80009,664,37216,7,No
240,59,Female,43741,651,37701,10,No
241,33,Male,37332,700,26876,20,No
242,20,Female,42322,775,37994,5,No
243,40,Male,41617,753,14895,5,No
244,27,Male,82409,741,45620,20,Yes
245,58,Male,60921,602,48454,20,No
246,18,Female,62204,756,19666,7,No
247,53,Female,77687,687,21421,15,No
248,31,Male,55796,613,28714,10,No
249,56,Male,93358,788,16437,10,Yes
250,60,Female,84591,661,34169,10,No
251,25,Male,75598,618,22462,10,Yes
252,64,Female,39957,648,22196,15,Yes
253,29,Female,78125,615,43362,10,No
254,57,Male,66784,769,11783,10,Yes
255,62,Female,80313,774,31161,20,No
256,40,Male,81912,756,22995,20,Yes
257,49,Female,67974,672,12544,15,Yes
258,34,Male,45362,668,31938,5,Yes
259,54,Male,82980,654,38278,5,No
260,33,Female,75478,764,36660,5,No
261,19,Female,43963,600,36126,5,Yes
262,19,Female,82480,652,5320,10,No
263,59,Male,56719,764,6040,20,No
264,54,Female,81468,765,21395,5,No
265,33,Male,84137,653,38846,5,No
266,37,Female,81438,790,6154,15,No
267,30,Female,41865,771,30986,5,Yes
268,41,Male,42294,698,40340,7,No
269,40,Male,92393,751,31621,15,No
270,34,Female,98350,605,29574,15,No
271,38,Male,67533,797,37906,15,No
272,62,Male,97464,620,47939,10,No
273,54,Female,80062,708,34292,5,No
274,50,Male,34064,608,6939,5,Yes
275,33,Male,54093,699,13299,10,Yes
276,29,Male,57932,666,46262,10,Yes
277,43,Male,81918,663,39391,5,Yes
278,56,Male,44999,633,12584,10,Yes
279,60,Female,80347,781,29646,7,Yes
280,28,Female,89305,685,19258,5,No
281,40,Female,51859,769,41541,5,Yes
282,63,Male,73409,798,17431,20,No
283,50,Male,55762,688,15891,10,No
284,36,Female,99621,732,42580,5,Yes
285,65,Female,45326,781,9766,15,No
286,56,Female,64189,756,16793,7,Yes
287,22,Female,37935,745,6320,15,Yes
288,19,Male,93108,694,47187,20,Yes
289,30,Male,60758,687,37843,15,Yes
290,24,Male,37351,734,44409,10,No
291,38,Female,82925,716,42506,7,No
292,37,Male,45865,710,37412,10,No
293,64,Male,79708,785,32139,15,No
294,46,Female,49435,796,7013,20,Yes
295,59,Female,76861,763,39550,10,No
296,20,Male,35133,625,8895,5,No
297,30,Male,63296,703,42364,15,Yes
298,35,Female,84915,617,36858,15,Yes
299,35,Female,58092,721,13525,7,Yes
300,23,Male,66690,658,48513,7,No
301,29,Male,60229,710,5163,10,Yes
302,21,Female,67815,734,36014,7,Yes
303,54,Female,67064,736,26814,20,No
304,37,Male,66076,750,39776,20,No
305,25,Male,74892,765,12587,15,No
306,31,Female,63324,731,31664,10,No
307,21,Female,32797,740,23639,20,Yes
308,48,Male,62424,753,11391,15,Yes
309,63,Male,55408,800,48356,7,Yes
310,31,Male,93557,726,46031,20,Yes
311,37,Female,76419,643,14101,15,Yes
312,49,Female,40280,601,13590,15,No
313,54,Female,82724,762,46586,5,Yes
314,55,Male,86384,624,22383,5,Yes
315,26,Male,34535,747,13050,20,No
316,51,Female,91387,672,28112,7,Yes
317,49,Male,98314,780,6671,20,Yes
318,62,Male,71625,641,23795,5,Yes
319,51,Male,32706,741,44892,10,No
320,25,Female,56602,776,37706,20,Yes
321,43,Female,73146,652,30282,7,Yes
322,46,Female,44194,745,28513,20,Yes
323,50,Female,99568,780,19762,10,Yes
324,29,Male,78527,766,48615,7,Yes
325,20,Female,40853,712,19074,5,No
326,39,Male,49205,692,38334,15,Yes
327,27,Male,59548,706,24853,7,No
328,24,Male,60623,749,46499,15,No
329,47,Male,41361,638,16528,7,No
330,28,Female,62876,618,31685,7,No
331,38,Female,63012,699,48482,7,No
332,41,Male,74459,749,23629,15,Yes
333,38,Female,72240,642,19027,10,Yes
334,53,Male,64616,734,17395,20,No
335,47,Male,98614,683,49162,10,Yes
336,34,Male,83759,797,37590,10,Yes
337,55,Female,86165,693,5133,20,No
338,54,Male,36402,719,9409,5,Yes
339,37,Female,31456,754,29915,20,Yes
340,29,Male,40108,719,25318,7,No
341,46,Female,59154,702,8958,15,No
342,20,Female,30900,799,27918,5,No
343,51,Male,93847,695,31901,10,No
344,27,Male,52286,706,46144,15,Yes
345,48,Female,33335,787,21589,20,Yes
346,44,Female,33737,689,42872,10,No
347,32,Female,82394,720,42143,20,No
348,27,Female,32090,718,18727,7,Yes
349,33,Male,75564,675,6834,5,No
350,24,Male,61697,632,48774,20,No
351,27,Male,72610,634,19421,5,Yes
352,22,Male,33952,731,36095,5,No
353,27,Female,48604,704,11129,15,Yes
354,19,Male,44990,717,9185,7,Yes
355,32,Female,79060,761,32820,15,No
356,48,Male,35536,685,33364,20,Yes
357,38,Male,56094,640,11705,7,No
358,64,Male,65439,608,33111,7,No
359,61,Male,99681,609,30741,20,Yes
360,34,Male,81859,680,41512,20,No
361,30,Female,30438,679,25162,7,No
362,22,Male,46647,722,34899,5,No
363,50,Female,40730,678,33564,7,No
364,20,Male,43049,637,31350,20,Yes
365,54,Female,99244,744,41006,5,Yes
366,47,Male,85198,763,49733,7,No
367,53,Female,97101,718,16190,20,No
368,20,Male,47296,633,5416,15,Yes
369,50,Female,55618,687,19920,15,Yes
370,61,Female,69182,714,25371,10,No
371,50,Female,78451,701,12153,15,Yes
372,42,Male,30439,733,32213,5,Yes
373,18,Female,93508,686,38552,7,Yes
374,48,Female,42372,777,30274,20,No
375,22,Male,89728,750,5959,10,No
376,23,Male,38610,777,14629,5,No
377,47,Female,72165,674,48945,20,No
378,43,Male,89874,656,44556,5,Yes
379,28,Male,54101,600,31919,15,Yes
380,40,Male,55764,605,48200,5,No
381,33,Male,75555,680,42361,15,Yes
382,23,Male,97160,799,46243,10,Yes
383,19,Male,89774,698,33231,15,Yes
384,21,Female,95292,633,7787,7,Yes
385,49,Female,74860,736,10596,7,No
386,20,Male,73193,612,26423,10,No
387,65,Female,63478,636,39115,20,Yes
388,37,Female,50333,604,46264,15,Yes
389,42,Male,85992,776,13959,15,No
390,24,Female,70069,606,43529,15,Yes
391,42,Female,44595,789,48449,20,No
392,46,Male,96947,797,14228,15,Yes
393,48,Male,43227,752,39721,20,Yes
394,46,Male,63655,782,12586,10,No
395,38,Male,44031,657,23557,20,Yes
396,54,Male,32009,601,48880,7,Yes
397,50,Male,68790,622,14540,7,No
398,37,Male,98226,781,24249,7,Yes
399,55,Female,51327,700,29830,20,Yes
400,28,Female,93529,642,40548,15,No
401,45,Female,42619,706,46782,10,Yes
402,41,Female,84365,728,35684,15,No
403,58,Female,34422,660,9819,5,No
404,18,Female,73076,748,23270,15,Yes
405,45,Male,72517,725,18463,7,Yes
406,27,Female,39410,660,38553,7,No
407,30,Male,40559,697,49971,7,No
408,47,Male,99474,647,43399,20,Yes
409,26,Female,42533,764,31201,15,No
410,27,Female,56359,772,7614,20,Yes
411,30,Female,77187,760,7222,7,Yes
412,62,Male,41982,685,16953,5,Yes
413,20,Female,51787,746,26307,20,Yes
414,48,Female,55256,767,15065,7,Yes
415,40,Male,94968,651,46241,7,No
416,18,Male,98676,663,25189,5,Yes
417,21,Female,53523,783,47991,20,Yes
418,29,Female,65004,668,19526,10,No
419,62,Male,67186,765,42268,5,No
420,31,Female,86936,655,42460,7,No
421,47,Male,69470,608,34701,5,Yes
422,36,Male,46185,766,48129,15,Yes
423,28,Female,73654,678,11883,5,Yes
424,56,Male,46035,648,11453,7,Yes
425,29,Male,86154,611,48896,5,Yes
426,43,Male,76724,708,5296,10,Yes
427,37,Female,68450,688,13525,10,Yes
428,21,Male,89271,667,9476,10,No
429,42,Female,40866,656,47407,5,Yes
430,45,Female,54798,799,28203,15,No
431,32,Male,65976,745,25986,20,No
432,22,Male,92266,670,29930,15,No
433,34,Male,97787,625,13752,7,Yes
434,48,Male,63621,686,13511,10,No
435,60,Male,47654,606,11485,7,Yes
436,20,Female,57809,659,9205,20,Yes
437,36,Male,55410,645,23527,5,Yes
438,29,Male,30986,728,45865,10,No
439,51,Female,50708,781,30257,15,No
440,54,Male,44376,653,8245,7,Yes
441,60,Female,36632,702,23340,7,Yes
442,52,Female,96714,765,44971,10,Yes
443,63,Male,76413,728,15953,20,No
444,57,Female,84261,736,20952,5,Yes
445,18,Female,70188,792,29536,5,Yes
446,56,Male,31943,659,33703,10,Yes
447,62,Female,71335,704,32983,15,No
448,31,Female,78427,692,36707,20,No
449,37,Female,51617,770,27159,10,No
450,62,Female,71561,702,10273,10,Yes
451,21,Female,87005,667,32355,5,No
452,47,Female,33354,768,38576,20,Yes
453,53,Female,49887,738,16217,5,No
454,37,Male,53234,621,22283,5,No
455,18,Male,54423,722,40543,5,No
456,23,Male,89691,693,23248,7,Yes
457,29,Female,74073,764,20077,5,Yes
458,18,Male,81479,728,42819,10,Yes
459,40,Female,65078,763,34132,7,No
460,36,Male,51778,761,13176,20,Yes
461,19,Female,56205,743,25791,20,Yes
462,46,Female,51421,683,34348,7,Yes
463,30,Female,63193,714,49652,20,No
464,52,Male,35095,690,49059,5,No
465,64,Female,68266,652,49210,5,Yes
466,43,Female,38813,725,28192,5,Yes
467,46,Female,96125,626,14773,15,No
468,54,Female,73422,701,47081,5,Yes
469,52,Male,89856,745,5558,15,No
470,53,Female,93646,672,25691,7,Yes
471,21,Female,90474,781,23627,7,Yes
472,25,Female,91599,782,8119,20,No
473,50,Male,38618,755,6321,10,Yes
474,53,Male,99186,620,40988,7,No
475,30,Male,98252,729,31852,20,Yes
476,63,Female,42551,784,44247,7,No
477,44,Male,54618,668,32660,20,Yes
478,62,Female,71922,800,24362,5,No
479,22,Female,64484,716,46995,20,Yes
480,63,Male,32328,609,32933,7,No
481,61,Male,38647,662,39142,5,Yes
482,55,Male,35813,665,42323,10,Yes
483,28,Female,62989,692,14138,7,Yes
484,49,Female,35955,703,12154,15,No
485,32,Female,95571,655,5659,20,Yes
486,61,Male,53338,659,43901,5,No
487,62,Female,57347,676,14274,10,No
488,41,Female,67084,696,39426,7,Yes
489,53,Male,62695,609,40614,15,No
490,44,Male,93824,799,43523,7,No
491,35,Female,45442,726,33395,7,Yes
492,27,Male,31693,800,46686,10,Yes
493,46,Male,58939,752,12734,7,Yes
494,56,Female,62456,623,36764,20,Yes
495,30,Male,63714,784,49265,10,Yes
496,57,Female,85925,759,47730,5,Yes
497,42,Female,71176,709,30116,10,Yes
498,18,Male,59288,788,15067,7,Yes
499,64,Male,60416,651,31069,20,Yes
500,58,Male,32711,629,49708,15,No
501,37,Female,62226,612,7820,5,No
502,35,Female,52718,690,25322,20,No
503,50,Female,65146,800,19270,5,Yes
504,18,Male,37101,747,9869,7,No
505,43,Male,39389,706,18223,15,Yes
506,24,Male,88907,613,22736,7,No
507,40,Female,54701,788,5457,5,Yes
508,36,Male,79459,753,16427,5,No
509,29,Female,78803,759,19706,10,Yes
510,27,Female,38625,676,46549,15,No
511,50,Female,35849,763,46429,10,No
512,38,Male,34570,601,5565,5,No
513,64,Male,85181,674,11803,7,No
514,23,Female,32569,666,34530,15,Yes
515,57,Male,86689,746,27795,15,Yes
516,44,Male,61780,768,11426,5,Yes
517,51,Male,73930,725,29061,15,No
518,58,Female,53640,759,28688,5,No
519,45,Female,42449,673,23284,5,Yes
520,39,Male,31586,787,18851,15,Yes
521,59,Female,94993,646,47233,7,Yes
522,48,Female,35216,656,38096,15,Yes
523,25,Male,97788,615,38433,20,No
524,18,Female,92956,667,25110,15,Yes
525,47,Female,40030,607,38492,15,No
526,56,Female,58907,661,23819,7,No
527,38,Male,72829,720,44350,7,No
528,47,Female,34767,659,33591,7,No
529,39,Male,60222,701,47256,15,Yes
530,50,Male,99562,772,5239,5,No
531,18,Male,94943,706,9067,20,Yes
532,52,Male,86250,767,24865,7,No
533,57,Male,33753,755,29122,15,No
534,46,Male,75460,701,21324,20,No
535,33,Male,68373,783,38535,7,No
536,59,Female,57573,600,43541,20,No
537,43,Male,58117,730,12525,7,Yes
538,42,Female,87238,622,13623,5,No
539,25,Female,68351,710,21330,20,Yes
540,33,Female,84959,731,12148,5,No
541,18,Male,76619,795,9758,7,Yes
542,43,Male,56952,603,41792,5,No
543,43,Male,57292,740,24396,10,No
544,44,Male,50641,667,26003,10,No
545,30,Female,33047,776,9229,10,Yes
546,35,Female,46042,642,39222,15,No
547,19,Female,84808,720,42264,7,No
548,45,Male,88511,604,25010,5,No
549,60,Female,93686,706,47009,7,No
550,41,Male,76006,600,18615,7,No
551,25,Male,53636,790,10588,7,No
552,25,Male,74295,691,23687,10,No
553,37,Male,89283,664,21585,5,No
554,47,Male,75594,684,19914,20,No
555,42,Female,36309,742,5638,5,Yes
556,33,Female,42401,727,29645,15,Yes
557,36,Female,89388,784,11460,20,No
558,58,Female,81497,610,9719,15,No
559,46,Male,71690,628,23669,5,No
560,37,Male,93041,781,44742,10,No
561,65,Female,88959,625,28558,5,Yes
562,46,Male,69754,752,33257,7,No
563,32,Male,57400,665,23220,7,Yes
564,53,Female,77097,749,36686,10,Yes
565,27,Male,58813,765,42825,5,Yes
566,29,Male,80001,797,45733,20,No
567,50,Female,63603,669,9931,15,Yes
568,23,Female,38105,690,36490,15,Yes
569,21,Male,81578,743,12088,10,Yes
570,62,Male,94536,707,35047,15,No
571,64,Female,72186,700,15846,15,No
572,25,Male,96464,732,45105,20,No
573,61,Female,37061,741,25421,10,No
574,60,Male,38614,764,32064,15,No
575,51,Male,68466,736,35219,7,No
576,19,Male,84269,681,35375,5,Yes
577,41,Male,42836,753,5652,20,Yes
578,56,Male,42531,649,31820,15,No
579,23,Male,57451,773,13978,10,No
580,37,Male,90058,758,20596,10,No
581,48,Male,82485,642,20988,20,No
582,48,Female,68394,611,23447,20,Yes
583,21,Male,64446,716,34007,20,Yes
584,24,Male,42378,783,27382,15,Yes
585,34,Male,39917,796,44679,7,No
586,44,Male,59421,687,16816,5,Yes
587,36,Male,57061,787,38310,10,Yes
588,61,Female,52536,790,23209,20,Yes
589,41,Female,30400,604,31891,5,Yes
590,30,Female,62354,674,8129,5,Yes
591,64,Male,69960,746,30337,15,No
592,50,Female,50670,651,5622,15,No
593,40,Female,68271,712,5999,5,Yes
594,21,Female,92899,738,10453,10,No
595,65,Male,36159,761,46078,7,No
596,25,Female,50390,613,49830,10,Yes
597,47,Male,32812,725,21908,5,No
598,52,Female,65137,759,8047,7,No
599,36,Male,44195,611,32815,15,No
600,43,Male,66698,605,9954,7,Yes
601,55,Female,95396,785,33757,10,No
602,20,Female,98569,717,42838,5,No
603,55,Male,61512,775,16065,7,Yes
604,32,Female,37587,785,26812,20,No
605,29,Female,73228,668,42236,20,Yes
606,27,Male,79430,696,7721,5,No
607,47,Female,80217,772,38935,5,Yes
608,52,Male,91393,617,29062,10,No
609,47,Male,51207,778,15986,7,Yes
610,30,Male,60635,768,17592,15,No
611,62,Female,98229,795,31094,20,Yes
612,30,Female,64748,658,7380,5,Yes
613,56,Male,58833,746,42170,20,No
614,30,Female,57026,701,14832,20,Yes
615,40,Female,50319,642,43434,7,Yes
616,65,Male,89812,621,42457,20,No
617,37,Female,86283,622,36018,5,Yes
618,65,Male,32377,660,34520,20,No
619,26,Male,96990,781,8813,7,No
620,54,Female,63465,771,45860,10,No
621,30,Female,62741,747,5984,15,No
622,36,Female,65478,766,15640,20,Yes
623,37,Male,50268,656,14413,20,Yes
624,25,Female,37754,620,32913,5,Yes
625,36,Male,90598,758,35862,10,Yes
626,52,Male,89207,611,44897,7,Yes
627,32,Male,91190,759,18325,20,No
628,37,Male,97347,656,25676,5,Yes
629,56,Female,32097,664,30139,7,Yes
630,29,Female,39588,628,44648,7,No
631,54,Male,70292,733,14893,10,Yes
632,41,Female,56771,704,46135,10,No
633,64,Male,58254,661,48025,5,Yes
634,25,Female,35818,649,17368,20,No
635,53,Female,39808,647,40906,10,Yes
636,35,Male,43001,795,17662,15,No
637,41,Male,93721,778,48406,15,Yes
638,43,Male,69926,747,15178,20,Yes
639,32,Female,49099,627,34002,20,Yes
640,31,Female,51705,782,18824,10,Yes
641,35,Male,99489,651,21202,5,No
642,59,Male,36163,667,44729,7,Yes
643,55,Female,34764,700,6791,7,No
644,65,Male,52199,640,11776,7,No
645,62,Female,80564,627,29220,5,Yes
646,63,Female,64411,648,34977,7,No
647,39,Female,72672,747,36053,20,Yes
648,54,Male,69883,647,21097,10,No
649,31,Male,66060,690,26918,7,No
650,49,Female,79198,690,7760,15,Yes
651,34,Female,65737,794,38535,5,No
652,62,Male,98646,631,40203,10,No
653,57,Male,62195,776,19372,20,No
654,62,Female,68903,601,37640,10,No
655,29,Female,68548,731,32281,20,No
656,43,Female,79351,772,22071,10,Yes
657,31,Female,42410,611,22584,10,No
658,41,Female,70256,786,13409,7,Yes
659,44,Male,65966,796,15286,7,No
660,53,Male,50755,728,47910,20,No
661,20,Male,77662,790,29114,10,Yes
662,19,Male,60832,620,43283,5,No
663,24,Female,76486,662,26282,20,No
664,62,Male,58982,775,39997,15,Yes
665,30,Female,51874,762,16139,7,Yes
666,42,Female,46168,704,37381,5,Yes
667,53,Female,49664,648,25489,15,Yes
668,39,Female,86166,614,34606,5,Yes
669,20,Female,78558,666,32715,7,No
670,40,Female,85168,607,33785,10,Yes
671,62,Male,65622,800,47547,20,No
672,53,Female,82499,671,38100,5,Yes
673,25,Male,60639,684,29927,7,No
674,56,Male,35896,793,34501,10,No
675,20,Female,70252,734,43279,5,Yes
676,27,Female,73849,660,19504,5,No
677,65,Male,66430,728,24521,15,Yes
678,63,Female,93418,638,49342,7,No
679,34,Male,71428,757,9640,10,No
680,65,Male,78161,693,25665,5,No
681,23,Female,44517,623,14236,5,Yes
682,57,Female,67013,604,21149,7,Yes
683,50,Male,71310,696,5821,20,Yes
684,59,Female,54267,720,9464,10,Yes
685,26,Female,55663,791,36593,15,No
686,63,Male,54419,650,11319,5,No
687,21,Male,88266,705,9402,10,No
688,19,Female,52252,793,28840,5,Yes
689,21,Male,68056,665,18168,5,Yes
690,53,Male,75145,665,44293,15,Yes
691,30,Male,66976,783,19028,5,Yes
692,33,Male,71003,620,19749,5,Yes
693,45,Male,46832,708,5240,7,Yes
694,35,Male,55288,748,14286,15,No
